Name,Type,Coords,Image,Description,Hours,latitude,longitude,Short,Ev,floorplans
Bourns Hall (Engineering),Building,"33.975323, -117.326965",https://live.staticflickr.com/65535/50814331066_74f0aa3f4f_b.jpg,,,33.975323,-117.326965,BRNHL,,https://utils.gohighlander.app/map/floorplans/bourns.webp
Bookstore (Campus Store),Building,"33.9752564,-117.3280412",https://live.staticflickr.com/65535/50813581613_6904eb6210_b.jpg,,,33.9752564,-117.3280412,BOOKS,,
Aberdeen-Inverness Residence Hall,Building,"33.97836321871872,-117.32556315570069",https://live.staticflickr.com/65535/50814330646_fb49011940_o.jpg,,,33.97836322,-117.3255632,AI,,
Administration in Hinderaker Hall,Building,"33.973573088293755, -117.33158008234174",https://live.staticflickr.com/65535/50814330341_9cd80c7880_b.jpg,,,33.97357309,-117.3315801,HINHL,,
Advanced Neuroimaging,Building,"33.97039712358398, -117.3271557151414",,,,33.97039712,-117.3271557,FMRI,,
Agricultural Operations,Building,"33.96835949714092, -117.33562981104616",,,,33.9683595,-117.3356298,TURFS,,
Alumni & Visitors Center,Building,"33.9776214015745, -117.33164650362775",https://live.staticflickr.com/65535/50813582353_30915a2af5_o.jpg,,,33.9776214,-117.3316465,ALUM,,
"Anderson Hall (SoBA, AGSM) 1 & 2",Building,"33.969455612280775, -117.32610014110836",https://live.staticflickr.com/65535/50813582343_379c9e1aab_o.jpg,,,33.96945561,-117.3261001,ANDHL,,
Arts Building,Building,"33.97504320494641, -117.33180370490801",https://live.staticflickr.com/65535/50813582323_0898e5a68d_o.jpg,,,33.9750432,-117.3318037,ARTS2,,
Arts 113-Studio Theatre,Building,"33.97539979864275, -117.33149958025209",,,,33.9753998,-117.3314996,,,
Arts 166-Performance Lab,Building,"33.97498930511604, -117.33143071652485",,,,33.97498931,-117.3314307,,,
Athletics & Dance Building,Building,"33.97479651586845, -117.32990697895924",,,,33.97479652,-117.329907,ATH,,
Bannockburn Village,Building,"33.97734908384716, -117.33163737902532",https://live.staticflickr.com/65535/50814330586_fcba117f29_b.jpg,,,33.97734908,-117.3316374,BANNV,,
Barn Group,Building,"33.97228444855106, -117.33048798915753",,,,33.97228445,-117.330488,HAYBN,,
Batchelor Hall,Building,"33.9722063043246, -117.32508059611672",https://live.staticflickr.com/65535/50814330576_ce97339984_o.jpg,,,33.9722063,-117.3250806,BATCH,,
Bell Tower,Building,"33.97333467245488, -117.32815344752511",,,,33.97333467,-117.3281534,BTOWR,,
Biological Sciences,Building,"33.972305751358235, -117.32606226331839",https://live.staticflickr.com/65535/50814331071_b178a90ed9_b.jpg,,,33.97230575,-117.3260623,BIOSC,,
Botanic Gardens,Building,"33.96960178346947, -117.31933016922959",,,,33.96960178,-117.3193302,HHBG,,
Boyce Hall,Building,"33.97354258519843, -117.3248727855828",https://live.staticflickr.com/65535/50813582888_6d6a4e5912_o.jpg,,,33.97354259,-117.3248728,BOYHL,,https://utils.gohighlander.app/map/floorplans/boyce.webp
Boyden Laboratories,Building,"33.97110622092211, -117.32553970024712",https://live.staticflickr.com/65535/50814434287_cee0b56448_o.jpg,,,33.97110622,-117.3255397,BOYDN,,
Campbell Hall,Building,"33.97184824397664, -117.32537237277784",https://live.staticflickr.com/65535/50813582273_1391eebc25_b.jpg,,,33.97184824,-117.3253724,ULB,,
Campus Tours (Student Services),Building,"33.97421947193599, -117.32995826127068",https://live.staticflickr.com/65535/50813581763_4b6c712dc9_o.jpg,,,33.97421947,-117.3299583,,,
SOM Education Building 2,Building,"33.973215983947384, -117.3242599690245",https://cms.concept3d.com/map/lib/image-cache/i.php?mapId=2106&image=2106/UCR_Colleges_SOM-education-II.jpeg&w=900&h=508&r=1,,,33.97321598,-117.32426,SOMED2,,
Career Center,Building,"33.975425642282204, -117.32821929888323",,,,33.97542564,-117.3282193,,,
Chapman Hall,Building,"33.970246024130496, -117.32633399614416",https://live.staticflickr.com/65535/50814330511_5ef4b5766a_b.jpg,,,33.97024602,-117.326334,CHPHL,,
CHASS Interdisciplinary North,Building,"33.97530135577572, -117.3303983118067",https://live.staticflickr.com/65535/50814433727_34b6eb1766_o.jpg,,,33.97530136,-117.3303983,INTN,,https://utils.gohighlander.app/map/floorplans/chassN.webp
Chemical Sciences,Building,"33.97430287319509, -117.32270901356462",https://live.staticflickr.com/65535/50814330451_a4c9a4a9a5_o.jpg,,,33.97430287,-117.322709,CHEM,,
Child Development Center,Building,"33.98198022887253, -117.32575516080341",https://live.staticflickr.com/65535/50814433797_d57034dec6_o.jpg,,,33.98198023,-117.3257552,CDC,,
College Building North,Building,"33.96786699676107, -117.3262592001598",https://live.staticflickr.com/65535/50813582833_46d765dfaa_o.jpg,,,33.967867,-117.3262592,CBN,,
College Building South,Building,"33.96755884811619, -117.326382307842",https://live.staticflickr.com/65535/50814434237_d28cf46dea_o.jpg,,,33.96755885,-117.3263823,CBS,,
Computing & Communications,Building,"33.97091733788425, -117.32203237944134",https://live.staticflickr.com/65535/50813582873_e074bfd701_b.jpg,,,33.97091734,-117.3220324,CCCTR,,
Costo Hall,Building,"33.97425416517216, -117.32923496407692",https://live.staticflickr.com/65535/50814433692_a96e16b741_b.jpg,,,33.97425417,-117.329235,COSTH,,
Cottage,Building,,,,,33.97489815,-117.3268339,WRKC3,,
Dundee,Building,"33.978618097208084, -117.3246906841166",https://live.staticflickr.com/65535/51145778489_e049226f88_b.jpg,,,33.9786181,-117.3246907,DUNDB,,https://utils.gohighlander.app/map/floorplans/dundee.webp
East I & Q (Insectary),Building,"33.97041330084409, -117.32476205528187",https://live.staticflickr.com/65535/50814330411_5dc93d95f3_o.jpg,,,33.9704133,-117.3247621,EIQ,,
Entomology,Building,"33.97102255385914, -117.32580001356449",https://live.staticflickr.com/65535/50814433632_3e0fdde242_b.jpg,,,33.97102255,-117.3258,ENTOM,,
Entomology Museum,Building,"33.97006752451963, -117.32555733135581",https://live.staticflickr.com/65535/50813582788_788bf7216f_o.jpg,,,33.97006752,-117.3255573,ENTMU,,
