Name,Type,Coords,latitude,longitude,Short,Structure
Bourns Hall (Engineering),Building,"33.975323, -117.326965",33.975323,-117.326965,BRNHL,Classroom
Bookstore (Campus Store),Building,"33.9752564,-117.3280412",33.9752564,-117.3280412,BOOKS,Classroom
Aberdeen-Inverness Residence Hall,Building,"33.97836321871872,-117.32556315570069",33.97836322,-117.3255632,AI,Classroom
Administration in Hinderaker Hall,Building,"33.973573088293755, -117.33158008234174",33.97357309,-117.3315801,HINHL,Classroom
Advanced Neuroimaging,Building,"33.97039712358398, -117.3271557151414",33.97039712,-117.3271557,FMRI,Classroom
Agricultural Operations,Building,"33.96835949714092, -117.33562981104616",33.9683595,-117.3356298,TURFS,Classroom
Alumni & Visitors Center,Building,"33.9776214015745, -117.33164650362775",33.9776214,-117.3316465,ALUM,Classroom
"Anderson Hall (SoBA, AGSM) 1 & 2",Building,"33.969455612280775, -117.32610014110836",33.96945561,-117.3261001,ANDHL,Classroom
Arts Building,Building,"33.97504320494641, -117.33180370490801",33.9750432,-117.3318037,ARTS2,Classroom
Arts 113-Studio Theatre,Building,"33.97539979864275, -117.33149958025209",33.9753998,-117.3314996,,Classroom
Arts 166-Performance Lab,Building,"33.97498930511604, -117.33143071652485",33.97498931,-117.3314307,,Classroom
Athletics & Dance Building,Building,"33.97479651586845, -117.32990697895924",33.97479652,-117.329907,ATH,Classroom
Bannockburn Village,Building,"33.97734908384716, -117.33163737902532",33.97734908,-117.3316374,BANNV,Classroom
Barn Group,Building,"33.97228444855106, -117.33048798915753",33.97228445,-117.330488,HAYBN,Classroom
Batchelor Hall,Building,"33.9722063043246, -117.32508059611672",33.9722063,-117.3250806,BATCH,Classroom
Bell Tower,Building,"33.97333467245488, -117.32815344752511",33.97333467,-117.3281534,BTOWR,Classroom
Biological Sciences,Building,"33.972305751358235, -117.32606226331839",33.97230575,-117.3260623,BIOSC,Classroom
Botanic Gardens,Building,"33.96960178346947, -117.31933016922959",33.96960178,-117.3193302,HHBG,Classroom
Boyce Hall,Building,"33.97354258519843, -117.3248727855828",33.97354259,-117.3248728,BOYHL,Classroom
Boyden Laboratories,Building,"33.97110622092211, -117.32553970024712",33.97110622,-117.3255397,BOYDN,Classroom
Campbell Hall,Building,"33.97184824397664, -117.32537237277784",33.97184824,-117.3253724,ULB,Classroom
Campus Tours (Student Services),Building,"33.97421947193599, -117.32995826127068",33.97421947,-117.3299583,,Classroom
SOM Education Building 2,Building,"33.973215983947384, -117.3242599690245",33.97321598,-117.32426,SOMED2,Classroom
Career Center,Building,"33.975425642282204, -117.32821929888323",33.97542564,-117.3282193,,Classroom
Chapman Hall,Building,"33.970246024130496, -117.32633399614416",33.97024602,-117.326334,CHPHL,Classroom
CHASS Interdisciplinary North,Building,"33.97530135577572, -117.3303983118067",33.97530136,-117.3303983,INTN,Classroom
Chemical Sciences,Building,"33.97430287319509, -117.32270901356462",33.97430287,-117.322709,CHEM,Classroom
