Name,Type,Coords,latitude,longitude,Short,Structure
Bourns Hall (Engineering),Building,"33.975323, -117.326965",33.97532300000000305,-117.32696500000000128,BRNHL,Classroom
Bookstore (Campus Store),Building,"33.9752564,-117.3280412",33.97525639999999925,-117.32804120000000125,BOOKS,Classroom
Aberdeen-Inverness Residence Hall,Building,"33.97836321871872,-117.32556315570069",33.97836321999999853,-117.32556320000000483,AI,Classroom
Administration in Hinderaker Hall,Building,"33.973573088293755, -117.33158008234174",33.97357309000000214,-117.33158009999999649,HINHL,Classroom
Advanced Neuroimaging,Building,"33.97039712358398, -117.3271557151414",33.97039712000000122,-117.32715570000000582,FMRI,Classroom
Agricultural Operations,Building,"33.96835949714092, -117.33562981104616",33.96835949999999826,-117.33562980000000664,TURFS,Classroom
Alumni & Visitors Center,Building,"33.9776214015745, -117.33164650362775",33.97762139999999675,-117.33164650000000506,ALUM,Classroom
"Anderson Hall (SoBA, AGSM) 1 & 2",Building,"33.969455612280775, -117.32610014110836",33.96945560999999714,-117.32610010000000500,ANDHL,Classroom
Arts Building,Building,"33.97504320494641, -117.33180370490801",33.97504320000000178,-117.33180369999999471,ARTS2,Classroom
Arts 113-Studio Theatre,Building,"33.97539979864275, -117.33149958025209",33.97539979999999815,-117.33149960000000078,,Classroom
Arts 166-Performance Lab,Building,"33.97498930511604, -117.33143071652485",33.97498930999999800,-117.33143069999999852,,Classroom
Athletics & Dance Building,Building,"33.97479651586845, -117.32990697895924",33.97479651999999817,-117.32990700000000572,ATH,Classroom
Bannockburn Village,Building,"33.97734908384716, -117.33163737902532",33.97734908000000331,-117.33163740000000530,BANNV,Classroom
Barn Group,Building,"33.97228444855106, -117.33048798915753",33.97228444999999653,-117.33048800000000256,HAYBN,Classroom
Batchelor Hall,Building,"33.9722063043246, -117.32508059611672",33.97220630000000341,-117.32508060000000683,BATCH,Classroom
Bell Tower,Building,"33.97333467245488, -117.32815344752511",33.97333466999999985,-117.32815340000000504,BTOWR,Classroom
Biological Sciences,Building,"33.972305751358235, -117.32606226331839",33.97230574999999675,-117.32606230000000380,BIOSC,Classroom
Botanic Gardens,Building,"33.96960178346947, -117.31933016922959",33.96960177999999786,-117.31933019999999601,HHBG,Classroom
