collected_at,lot_name,free_spaces,occupancy_pct
2026-02-12 03:01:48.817173+00,lot_50,305,26.15
2026-02-12 03:01:48.717543+00,lot_32,212,17.83
2026-02-12 03:01:48.617573+00,lot_30,1395,34.9
2026-02-12 03:01:48.517156+00,lot_26,357,18.12
2026-02-12 03:01:48.417105+00,lot_24,144,64.53
2026-02-12 03:01:48.316341+00,lot_6,216,44.19
2026-02-12 03:01:48.092637+00,big_springs_1,195,60.2
2026-02-12 02:02:22.964373+00,lot_50,271,34.38
2026-02-12 02:02:22.865495+00,lot_32,168,34.88
2026-02-12 02:02:22.764718+00,lot_30,1034,51.75
2026-02-12 02:02:22.664663+00,lot_26,316,27.52
2026-02-12 02:02:22.566062+00,lot_24,187,53.94
2026-02-12 02:02:22.466711+00,lot_6,203,47.55
2026-02-12 02:02:22.257068+00,big_springs_1,190,61.22
2026-02-12 01:56:05.408549+00,lot_50,267,35.35
2026-02-12 01:56:05.310122+00,lot_32,165,36.05
2026-02-12 01:56:05.211355+00,lot_30,1013,52.73
2026-02-12 01:56:05.114102+00,lot_26,310,28.9
2026-02-12 01:56:05.015511+00,lot_24,192,52.71
2026-02-12 01:56:04.913661+00,lot_6,202,47.8
2026-02-12 01:56:04.708569+00,big_springs_1,192,60.82
2026-02-12 01:50:55.041161+00,lot_50,267,35.35
2026-02-12 01:50:54.944418+00,lot_32,161,37.6
2026-02-12 01:50:54.846647+00,lot_30,998,53.43
2026-02-12 01:50:54.749822+00,lot_26,303,30.5
2026-02-12 01:50:54.652794+00,lot_24,195,51.97
2026-02-12 01:50:54.554424+00,lot_6,203,47.55
2026-02-12 01:50:54.356449+00,big_springs_1,190,61.22
2026-02-12 01:46:08.433437+00,lot_50,263,36.32
2026-02-12 01:46:08.333354+00,lot_32,158,38.76
2026-02-12 01:46:08.232908+00,lot_30,982,54.18
2026-02-12 01:46:08.133115+00,lot_26,306,29.82
2026-02-12 01:46:08.031927+00,lot_24,193,52.46
2026-02-12 01:46:07.93235+00,lot_6,200,48.32
